player_id,player_name,event_date,event_week,prev_surface,next_surface,wr_before,wr_after,STI_raw,STI_weighted,tier_mode
A028,Alex Antonitsch,1992-07-13,1992-07-07,Grass,Hard,0.6666666666666666,0.3333333333333333,0.500000749998875,0.6600009899985151,A
A028,Alex Antonitsch,1992-07-20,1992-07-14,Hard,Clay,0.6666666666666666,0.3333333333333333,0.500000749998875,0.7700011549982676,A
A028,Alex Antonitsch,1992-08-31,1992-08-25,Clay,Hard,0.0,0.3333333333333333,-333332.3333333333,-403332.12333333335,A
A028,Alex Antonitsch,1992-09-25,1992-09-22,Hard,Grass,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A028,Alex Antonitsch,1992-10-05,1992-09-29,Grass,Hard,0.6666666666666666,0.3333333333333333,0.500000749998875,0.6600009899985151,A
A028,Alex Antonitsch,1992-10-12,1992-10-06,Hard,Carpet,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1993-01-04,1992-12-29,Carpet,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1993-03-08,1993-03-02,Hard,Carpet,0.6666666666666666,0.6666666666666666,1.0,1.0,B
A028,Alex Antonitsch,1993-03-15,1993-03-09,Carpet,Clay,0.0,0.0,1.0,1.0,B
A028,Alex Antonitsch,1993-04-05,1993-03-30,Clay,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.629989109942278e-06,A
A028,Alex Antonitsch,1993-06-07,1993-06-01,Hard,Grass,0.6666666666666666,0.3333333333333333,0.500000749998875,0.5500008249987626,A
A028,Alex Antonitsch,1993-07-19,1993-07-13,Grass,Hard,0.6666666666666666,0.6666666666666666,1.0,1.56,M
A028,Alex Antonitsch,1993-09-24,1993-09-21,Hard,Carpet,0.3333333333333333,0.0,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1993-09-27,1993-09-21,Carpet,Hard,0.6666666666666666,0.3333333333333333,0.500000749998875,0.5500008249987626,A
A028,Alex Antonitsch,1993-10-11,1993-10-05,Hard,Carpet,0.3333333333333333,0.0,2.9999909999522956e-06,3.2999900999475253e-06,A
A028,Alex Antonitsch,1994-01-10,1994-01-04,Carpet,Hard,0.0,0.6666666666666666,-666665.6666666666,-999998.5,G
A028,Alex Antonitsch,1994-01-31,1994-01-25,Hard,Carpet,0.6666666666666666,0.3333333333333333,0.500000749998875,0.5500008249987626,A
A028,Alex Antonitsch,1994-03-28,1994-03-22,Carpet,Hard,1.0,0.0,9.99998999939855e-07,1.0999988999338407e-06,A
A028,Alex Antonitsch,1994-04-18,1994-04-12,Hard,Clay,0.0,0.0,1.0,1.54,A
A028,Alex Antonitsch,1994-06-06,1994-05-31,Clay,Grass,0.0,0.0,1.0,1.4300000000000002,A
A028,Alex Antonitsch,1994-07-18,1994-07-12,Grass,Hard,0.0,0.3333333333333333,-333332.3333333333,-439998.68,A
A028,Alex Antonitsch,1994-10-17,1994-10-11,Hard,Carpet,0.3333333333333333,0.3333333333333333,1.0,1.1,A
A028,Alex Antonitsch,1995-02-03,1995-01-31,Carpet,Hard,0.6666666666666666,0.0,1.4999977500096406e-06,1.6499975250106047e-06,A
A028,Alex Antonitsch,1995-03-13,1995-03-07,Hard,Carpet,0.6666666666666666,0.0,1.4999977500096406e-06,1.4999977500096406e-06,B
A028,Alex Antonitsch,1995-05-08,1995-05-02,Hard,Clay,0.3333333333333333,0.0,2.9999909999522956e-06,4.619986139926535e-06,A
A031,Jimmy Arias,1991-04-15,1991-04-09,Hard,Clay,0.6666666666666666,0.3333333333333333,0.500000749998875,0.7700011549982676,A
A031,Jimmy Arias,1991-07-15,1991-07-09,Clay,Hard,0.6666666666666666,0.3333333333333333,0.500000749998875,0.7150010724983913,M
A031,Jimmy Arias,1992-04-27,1992-04-21,Hard,Clay,0.0,0.3333333333333333,-333332.3333333333,-513331.7933333333,A
A031,Jimmy Arias,1992-07-13,1992-07-07,Clay,Hard,0.0,0.6666666666666666,-666665.6666666666,-806665.4566666668,A
A031,Jimmy Arias,1993-04-12,1993-04-06,Hard,Clay,0.3333333333333333,0.3333333333333333,1.0,1.54,A
A031,Jimmy Arias,1993-08-16,1993-08-10,Clay,Hard,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,3.629989109942278e-06,A
A031,Jimmy Arias,1994-04-11,1994-04-05,Hard,Clay,0.6666666666666666,0.5,0.7500003749994375,1.1550005774991337,A
A031,Jimmy Arias,1994-08-22,1994-08-16,Clay,Hard,0.3333333333333333,0.5,0.5000014999954998,0.6050018149945549,A
A034,Jordi Arrese,1991-04-01,1991-03-26,Carpet,Clay,0.0,0.6666666666666666,-666665.6666666666,-733332.2333333334,A
A034,Jordi Arrese,1991-07-08,1991-07-02,Grass,Clay,0.0,0.3333333333333333,-333332.3333333333,-549998.35,A
A034,Jordi Arrese,1991-10-21,1991-10-15,Clay,Hard,1.0,1.0,1.0,1.2100000000000002,A
A034,Jordi Arrese,1992-02-03,1992-01-28,Hard,Carpet,0.6666666666666666,0.0,1.4999977500096406e-06,1.6499975250106047e-06,A
A034,Jordi Arrese,1992-03-30,1992-03-24,Carpet,Clay,0.0,0.3333333333333333,-333332.3333333333,-366665.56666666665,A
A034,Jordi Arrese,1992-08-31,1992-08-25,Clay,Hard,0.6666666666666666,0.6666666666666666,1.0,1.2100000000000002,A
A034,Jordi Arrese,1992-09-14,1992-09-08,Hard,Clay,0.3333333333333333,0.6666666666666666,2.9999909999522956e-06,4.619986139926535e-06,A
A034,Jordi Arrese,1992-10-26,1992-10-20,Clay,Hard,1.0,0.0,9.99998999939855e-07,1.2099987899272247e-06,A
A034,Jordi Arrese,1993-02-15,1993-02-09,Hard,Carpet,0.3333333333333333,0.0,2.9999909999522956e-06,3.2999900999475253e-06,A
A034,Jordi Arrese,1993-02-22,1993-02-16,Carpet,Clay,0.0,0.6666666666666666,-666665.6666666666,-733332.2333333334,A
A034,Jordi Arrese,1993-03-01,1993-02-23,Clay,Hard,0.6666666666666666,0.0,1.4999977500096406e-06,1.8149972775116655e-06,A
A034,Jordi Arrese,1993-03-15,1993-03-09,Hard,Clay,0.0,0.6666666666666666,-666665.6666666666,-1026665.1266666667,A
A034,Jordi Arrese,1993-10-25,1993-10-19,Hard,Clay,0.0,1.0,-999999.0,-1539998.4600000002,A
A034,Jordi Arrese,1996-03-25,1996-03-19,Carpet,Clay,0.0,0.0,1.0,1.1,A
A035,Pablo Arraya,1991-04-29,1991-04-23,Hard,Clay,0.5,0.6666666666666666,0.6666673333320001,1.0266676933312802,A
A035,Pablo Arraya,1991-07-08,1991-07-02,Grass,Clay,0.0,0.3333333333333333,-333332.3333333333,-549998.35,A
A035,Pablo Arraya,1991-08-12,1991-08-06,Clay,Hard,0.0,0.0,1.0,1.6500000000000001,G
A035,Pablo Arraya,1991-09-09,1991-09-03,Hard,Carpet,0.0,0.5,-499999.0,-549998.9,A
A035,Pablo Arraya,1992-01-13,1992-01-07,Carpet,Hard,0.5,0.3333333333333333,0.666667333332,0.7333340666652001,A
A035,Pablo Arraya,1992-02-03,1992-01-28,Hard,Clay,0.0,0.3333333333333333,-333332.3333333333,-513331.7933333333,A
A035,Pablo Arraya,1992-03-16,1992-03-10,Carpet,Clay,0.6666666666666666,0.6666666666666666,1.0,1.1,A
A035,Pablo Arraya,1992-03-30,1992-03-24,Clay,Hard,0.3333333333333333,0.0,2.9999909999522956e-06,3.629989109942278e-06,A
A035,Pablo Arraya,1992-04-13,1992-04-07,Hard,Clay,0.3333333333333333,1.0,-0.9999940000180005,-1.5399907600277207,A
A037,Richard Ashby,1992-01-31,1992-01-28,Hard,Clay,0.5,0.0,1.999996000034976e-06,2.799994400048966e-06,B
A040,Roberto Azar,1991-08-26,1991-08-20,Clay,Hard,0.3333333333333333,0.0,2.9999909999522956e-06,3.629989109942278e-06,A
A040,Roberto Azar,1991-09-23,1991-09-17,Hard,Clay,0.0,0.6666666666666666,-666665.6666666666,-1026665.1266666667,A
